行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
南屯區,39.45,282.29,0.739234892,12,20,住,4,2,2,1,坡道平面,2019/3/22,120.62238400000001,24.150631,2520
西屯區,37.02,202.61,2.38745491,7,21,住,3,2,2,1,坡道平面,2019/11/18,120.62793799999999,24.1837,1830
西屯區,34.57,209.64,11.72919362,9,14,住,4,2,2,1,坡道平面,2018/12/11,120.64003559999999,24.18146845,1040
西屯區,8.35,140.94,7.688042876,13,26,住,2,1,2,1,坡道平面,2017/9/20,120.593303,24.182435,886
西屯區,14.81,131.59,24.59461864,10,15,住,3,2,2,1,坡道平面,2019/5/26,120.605703,24.187635999999998,675
北區,16.53,81.88,32.32920594,3,7,住,2,1,1,1,無,2017/3/31,120.67319199999999,24.170248,340
西屯區,11.88,116.46,2.436737236,17,21,住,2,2,1,1,坡道機械,2017/4/27,120.608007,24.190404,785
南屯區,10.03,82.84,22.34132118,2,16,住,2,2,1,1,坡道機械,2017/1/7,120.61816200000001,24.158269,410
南屯區,17.07,174.36,4.509332841,6,14,住,4,2,2,1,坡道平面,2018/4/21,120.61816200000001,24.158269,1020
中區,5.43,41.16,41.24383115,10,11,住,1,0,1,1,無,2018/10/16,120.68025700000001,24.138643,102
北區,5.62,14.03,35.45041993,3,5,住,1,0,1,1,無,2017/6/13,120.68426799999999,24.16215,68
北區,22.34,95.47,30.56325592,5,5,住,3,2,2,0,無,2017/8/15,120.671986,24.165337,342
南屯區,11.86,123.34,5.119886103,14,14,住,2,2,2,1,坡道機械,2018/11/30,120.61816200000001,24.158269,698
北區,30.7,90.89,39.5052602,2,5,住,6,1,6,0,無,2019/1/25,120.672377,24.168647,625
北屯區,10.65,111.66,21.70612675,7,15,住,3,2,2,1,無,2019/3/13,120.73728999999999,24.178822,520
南區,9.75,109.35,21.87313908,7,13,住,3,2,2,1,無,2016/12/11,120.670427,24.125861999999998,450
北屯區,22.54,107.73,29.37774218,3,7,住,3,2,2,1,無,2019/9/11,120.701228,24.16703,450
南區,20.55,163.7,1.744046763,12,15,住,3,2,2,1,坡道平面,2018/9/10,120.65803799999999,24.109051,1225
北區,3.16,29.12,20.55620581,12,14,住,1,1,1,1,無,2017/2/3,120.684582,24.166829999999997,120
西屯區,16.52,245.09,6.097318905,15,24,住,3,1,2,1,坡道平面,2018/2/1,120.65041399999998,24.162748999999998,1880
北區,13.51,75.03,20.53977837,4,7,住,2,1,2,1,無,2017/3/14,120.67738500000002,24.171278,330
北屯區,21.39,164.64,1.229320246,6,14,住,3,2,2,1,坡道平面,2017/11/4,120.706928,24.167439,895
西屯區,44.23,338.7,2.828257938,9,21,住,4,2,2,1,坡道平面,2016/12/25,120.636381,24.178535,2580
北區,3.4,25.58,26.13058447,3,7,住,1,0,1,1,無,2017/1/7,120.66938300000001,24.165703,92
西屯區,3.77,26.5,24.70961074,6,8,住,1,1,1,1,無,2019/1/11,120.656903,24.163104999999998,135
北區,35.51,181.72,30.08959801,6,7,住,5,2,2,1,坡道平面,2018/10/5,120.67822199999999,24.164673,906
北屯區,3.33,51.67,24.15655352,18,24,住,1,1,1,1,無,2019/8/22,120.692967,24.170967,245
西屯區,23.34,152.18,24.73972772,6,7,住,3,2,2,1,升降機械,2018/3/27,120.64674099999999,24.170869,829
大雅區,39.97,178.29,1.900107463,6,14,住,3,2,2,1,坡道平面,2019/9/11,120.646674,24.230667999999998,1070
北區,4.82,28.56,27.71035682,3,7,住,1,0,1,1,無,2020/1/14,120.6862,24.15585,130
東區,38.69,241.12,0.090350931,18,22,住,4,2,2,1,坡道平面,2017/12/4,120.69460500000001,24.135960999999998,1776
北區,25.25,61.03,40.8304072,3,4,住,3,2,1,0,無,2018/3/16,120.677136,24.160926999999997,420
西屯區,4.83,54.38,11.43076175,11,14,住,1,1,1,1,無,2018/4/30,120.65041399999998,24.162748999999998,465
北屯區,18.58,124.28,11.88799222,11,13,住,2,2,1,1,坡道平面,2018/4/5,120.68671299999998,24.189567,900
南屯區,46.68,219.54,2.078071418,3,20,住,4,2,2,1,坡道平面,2019/9/20,120.62423999999999,24.145305,2268
西屯區,3.41,27.21,24.30987632,6,15,住,1,1,1,1,無,2019/8/11,120.63491,24.176417999999998,164
西屯區,2.79,21.59,22.22632908,5,6,住,1,0,1,1,無,2018/1/31,120.65011000000001,24.17115,106
南區,18.89,139.33,0.380569074,10,12,住,2,2,2,1,坡道平面,2019/8/11,120.651338,24.107638,756
西屯區,16.22,138.5,27.743211699999996,2,7,住,3,2,2,1,坡道平面,2019/10/26,120.66521200000001,24.169339,580
東區,10.86,95.54,20.71774232,7,12,住,2,2,2,1,無,2019/6/4,120.697657,24.151572,399
北屯區,18.25,215.94,23.58706887,15,19,住,4,2,2,1,坡道平面,2018/4/8,120.680764,24.176323,1060
南屯區,3.74,62.0,23.99501701,2,12,住,1,0,1,1,坡道平面,2018/9/4,120.61816200000001,24.158269,200
北區,25.83,89.95,34.48120085,5,5,住,8,0,8,0,無,2019/7/13,120.67319199999999,24.170248,620
北屯區,19.6,127.43,0.12594372199999998,12,12,住,3,2,1,1,坡道機械,2018/6/12,120.710393,24.161037,640
南區,29.29,232.93,0.56674675,4,15,住,3,2,2,1,坡道平面,2017/4/9,120.654802,24.119243,1600
西屯區,18.86,145.24,20.62465348,7,12,住,3,2,2,1,坡道平面,2017/11/10,120.64084,24.17122,940
東區,28.26,127.5,17.84567787,4,16,住,3,2,2,1,無,2018/6/20,120.687946,24.145617,620
北屯區,30.93,142.18,26.85612983,3,7,住,3,2,2,1,坡道平面,2017/2/13,120.69533100000001,24.172687,580
北區,2.39,30.12,23.30506444,7,13,住,1,1,1,1,無,2019/9/21,120.671653,24.173351,172
北屯區,4.74,49.56,22.94913653,7,17,商,1,1,1,1,無,2017/12/3,120.681357,24.176145,243
大里區,29.97,101.44,37.13149483,5,5,住,5,0,5,0,無,2019/4/9,120.689696,24.097784,555
西區,12.2,122.82,17.30083438,9,14,住,3,2,2,1,坡道平面,2018/2/8,120.653176,24.150642,980
北區,39.51,238.24,0.366879539,12,15,住,3,2,2,1,坡道平面,2018/1/9,120.67063799999998,24.171938,2040
北區,2.41,33.44,20.73143186,8,14,住,1,0,1,1,無,2017/4/9,120.684582,24.166829999999997,140
北屯區,21.78,151.67,0.574960471,13,13,住,3,2,2,1,坡道平面,2019/5/7,120.73284199999999,24.174091,770
北區,10.25,101.05,15.22550087,8,14,住,3,2,2,1,無,2019/11/25,120.68466200000002,24.164867,685
中區,4.88,61.6,44.70728352,9,9,住,2,1,1,1,無,2017/8/7,120.677015,24.145744,181
北屯區,17.8,177.4,7.792083342000001,14,15,住,3,2,2,1,坡道平面,2018/4/8,120.68671299999998,24.189567,1230
西區,11.96,80.65,34.58797922,7,7,住,6,3,3,1,無,2018/1/7,120.67342099999999,24.152104,315
西區,6.8,41.2,26.19903215,7,7,住,1,0,1,1,無,2019/7/13,120.657572,24.14415,176
北屯區,21.28,187.67,8.821536377000001,3,12,住,4,2,2,1,坡道平面,2019/3/15,120.682121,24.175832,1200
西屯區,22.48,66.65,38.86732787,5,5,住,3,2,2,0,無,2019/5/4,120.64315400000001,24.178515,548
南屯區,16.84,196.6,11.74288315,8,14,住,3,2,1,1,坡道平面,2019/6/18,120.642798,24.152225,1580
東區,23.51,157.21,2.932298404,8,14,住,3,2,2,1,坡道平面,2017/5/26,120.69460500000001,24.135960999999998,938
北屯區,5.48,90.0,8.909149401,6,17,住,1,1,1,1,坡道平面,2019/8/7,120.68631200000002,24.181376999999998,666
北屯區,32.09,70.9,38.88101741,2,4,住,3,2,1,0,無,2018/12/5,120.70252099999999,24.165599,320
北屯區,13.49,76.61,23.80883933,5,8,住,1,1,1,1,無,2017/10/5,120.692705,24.165189,372
大雅區,24.74,169.55,3.912469113,4,14,商,3,2,2,1,坡道平面,2017/7/7,120.667051,24.21552,770
北屯區,4.67,58.23,24.10179538,7,16,住,1,1,1,1,無,2016/11/26,120.65991399999999,24.193176,320
北屯區,19.95,170.53,0.005475814,12,15,住,3,2,2,1,坡道平面,2019/11/24,120.686004,24.195103,1256
西屯區,41.71,229.45,0.197129305,10,21,住,3,2,2,1,坡道平面,2017/9/9,120.62793799999999,24.1837,1870
大里區,15.89,98.39,26.7247103,1,13,住,3,2,2,1,無,2019/5/15,120.690972,24.122705,438
南區,23.26,147.64,4.925494706,12,12,住,3,2,2,1,坡道平面,2018/12/27,120.660532,24.110766,926
西屯區,12.32,139.55,21.86766326,14,21,住,3,2,2,1,無,2019/10/4,120.647473,24.157975,800
南屯區,19.41,235.02,21.44328768,7,20,住,3,2,2,1,無,2017/12/21,120.62730900000001,24.149909,1308
北區,23.55,101.68,38.06238321,4,5,住,3,1,2,0,無,2019/9/6,120.672455,24.172943,300
西屯區,19.15,114.66,21.32829558,4,7,住,3,2,2,1,無,2017/10/6,120.65983100000001,24.163322,610
西屯區,29.05,181.37,9.366379871,4,14,住,3,2,2,1,坡道平面,2016/11/5,120.66198100000001,24.176007000000002,780
南屯區,30.37,192.78,3.0116977080000003,7,15,住,3,2,2,1,坡道平面,2019/8/31,120.584166,24.167175,1388
北區,31.84,97.76,36.27179203,2,5,住,3,2,2,0,無,2017/3/19,120.681751,24.165592999999998,458
西區,31.25,105.35,38.67567438,5,5,住,3,2,2,0,坡道平面,2019/11/7,120.665152,24.133036999999998,508
大里區,13.54,117.48,23.33244351,8,13,住,3,2,2,1,坡道機械,2018/1/16,120.68595900000001,24.121675,550
西屯區,5.02,37.69,23.05591491,13,13,住,1,1,1,1,無,2018/3/12,120.65614599999999,24.196041,186
北屯區,27.78,235.74,1.738570949,18,19,住,3,2,2,1,坡道平面,2017/7/18,120.68943600000001,24.185710999999998,1900
北屯區,4.42,58.82,23.49124212,8,17,商,1,0,1,1,坡道平面,2018/6/19,120.681357,24.176145,300
南區,11.23,122.33,24.537122600000004,9,17,住,3,2,2,1,無,2019/4/28,120.68382,24.11895,530
